Basic_Stats_Coverage_score,Inferential_Stats_Coverage_score,Statistical_Techniques_Coverage_score,Lin_Reg_Q _Coverage_score,Log_Reg_Coverage_score,DT_Coverage _score,NB_Coverage_score,SVM__Coverage_score,KM_Clustering_Coveragee_score,Basic_Stats_score,Inferential_Stats_score,Linear_Reg_score,Logistic_Reg_score,DT_score,NB_score,SVM_score,KM_Clustering_score
10,7,7,7,6,5,10,10,10,8,4,9,9,6,6,8,9
7,8,6,8,5,5,5,7,7,6,5,2,2,3,4,4,3
0,4,0,0,5,4,6,0,0,5,3,4,4,4,6,5,4
4,4,7,5,5,6,6,4,4,8,0,3,3,6,5,4,3
6,6,5,5,5,5,5,6,6,0,0,0,0,0,0,0,0
4,7,4,5,5,5,7,4,4,0,0,0,0,0,0,6,4
0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,7,0,0,6,0,3,3,5,5,3,4
0,5,0,0,6,4,7,0,0,0,0,0,0,0,0,0,0
6,4,6,6,5,5,4,6,6,6,4,5,3,5,7,5,3
9,5,5,5,0,0,10,9,9,9,7,8,8,5,6,8,8
3,3,3,4,5,5,5,3,3,8,5,6,4,5,8,4,3
6,6,6,5,6,5,7,6,6,7,5,3,5,6,6,3,5
0,5,0,0,4,4,3,0,0,0,3,2,2,6,5,3,2
0,6,0,0,5,5,3,0,0,5,3,2,1,4,4,4,3
3,1,2,2,5,5,2,3,3,4,3,3,2,4,6,3,2
3,4,5,4,5,5,4,3,3,6,3,3,2,5,5,4,3
0,6,0,0,7,5,5,0,0,6,4,4,4,5,6,5,4
0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,3,0,0,5,4,5,0,0,6,1,3,4,4,6,4,3
6,7,3,5,0,0,8,6,6,8,0,6,6,7,6,5,7
2,4,3,3,5,5,4,2,2,0,0,0,0,0,0,4,3
4,4,3,4,4,5,2,4,4,0,0,4,2,5,6,2,3
0,1,0,0,5,6,6,0,0,3,2,6,3,8,8,4,3
5,6,4,3,5,5,5,5,5,0,0,4,5,4,5,3,5
0,5,0,0,0,0,9,0,0,9,0,9,9,7,8,9,9
3,3,5,5,5,5,3,3,3,6,0,4,1,5,6,3,2
